dataset,family,rep,true_k,method,k_hat,ARI,runtime
sep_k5_d2,sep,1,5,CDK 2ec (default),5,0.9785020843697608,4.432743549346924
sep_k5_d2,sep,1,5,CDK 2ec / Gaussian null,5,0.9785020843697608,5.457264184951782
sep_k5_d2,sep,1,5,CDK 2ec / AD statistic,5,0.9785020843697608,4.9708216190338135
sep_k5_d2,sep,1,5,CDK 2ec / no multiplicity corr.,5,0.9785020843697608,4.129652261734009
sep_k5_d2,sep,1,5,CDK 2ec / n_min=15,5,0.9785020843697608,4.738350868225098
sep_k5_d2,sep,1,5,CDK 2ec / n_min=40,5,0.9785020843697608,3.591136693954468
sep_k5_d2,sep,0,5,CDK 2ec (default),5,0.981463313194489,4.647553205490112
sep_k5_d2,sep,0,5,CDK 2ec / Gaussian null,5,0.981463313194489,6.034114360809326
sep_k5_d2,sep,0,5,CDK 2ec / AD statistic,5,0.981463313194489,4.870158910751343
sep_k5_d2,sep,0,5,CDK 2ec / no multiplicity corr.,5,0.981463313194489,4.373574733734131
sep_k5_d2,sep,0,5,CDK 2ec / n_min=15,5,0.981463313194489,4.378163576126099
sep_k5_d2,sep,0,5,CDK 2ec / n_min=40,5,0.981463313194489,4.347308397293091
sep_k5_d2,sep,2,5,CDK 2ec (default),5,1.0,4.165388345718384
sep_k5_d2,sep,2,5,CDK 2ec / Gaussian null,5,1.0,5.241455078125
sep_k5_d2,sep,2,5,CDK 2ec / AD statistic,5,1.0,5.433598279953003
sep_k5_d2,sep,2,5,CDK 2ec / no multiplicity corr.,5,1.0,4.065693616867065
sep_k5_d2,sep,2,5,CDK 2ec / n_min=15,5,1.0,4.662979602813721
sep_k5_d2,sep,2,5,CDK 2ec / n_min=40,5,0.9150632507707028,4.521599054336548
sep_k5_d2,sep,3,5,CDK 2ec (default),5,0.9439888565124596,4.544615507125855
sep_k5_d2,sep,3,5,CDK 2ec / Gaussian null,5,0.9439888565124596,5.182218551635742
sep_k5_d2,sep,3,5,CDK 2ec / AD statistic,5,0.9439888565124596,5.713643550872803
sep_k5_d2,sep,3,5,CDK 2ec / no multiplicity corr.,5,0.9439888565124596,4.316176891326904
sep_k5_d2,sep,3,5,CDK 2ec / n_min=15,5,1.0,4.7519495487213135
sep_k5_d2,sep,3,5,CDK 2ec / n_min=40,5,0.9439888565124596,3.6184403896331774
sep_k5_d2,sep,5,5,CDK 2ec (default),5,0.9968691099886756,4.016893625259399
sep_k5_d2,sep,5,5,CDK 2ec / Gaussian null,5,0.9968691099886756,5.16089129447937
sep_k5_d2,sep,5,5,CDK 2ec / AD statistic,5,0.9968691099886756,4.80924916267395
sep_k5_d2,sep,5,5,CDK 2ec / no multiplicity corr.,5,0.9968691099886756,3.830507278442383
sep_k5_d2,sep,5,5,CDK 2ec / n_min=15,5,0.9968691099886756,4.33422589302063
