dataset,family,rep,fam,true_k,k_hat,k_init,m_edges,cand_connected,n_tests,secs
null_gaussian_d2,null,0,knn,1,1,14,36,True,36,2.69
null_gaussian_d2,null,0,gabriel,1,1,14,26,True,26,1.7
null_gaussian_d2,null,0,rng,1,2,14,14,True,14,0.63
null_gaussian_d2,null,1,knn,1,1,13,31,True,31,2.49
null_gaussian_d2,null,1,gabriel,1,1,13,23,True,23,1.45
null_gaussian_d2,null,1,rng,1,2,13,14,True,14,0.63
null_gaussian_d2,null,2,knn,1,1,13,33,True,33,3.1
null_gaussian_d2,null,2,gabriel,1,1,13,24,True,24,1.81
null_gaussian_d2,null,2,rng,1,2,13,13,True,13,0.6
null_gaussian_d2,null,3,knn,1,1,14,36,True,36,2.76
null_gaussian_d2,null,3,gabriel,1,2,14,26,True,26,1.88
null_gaussian_d2,null,3,rng,1,3,14,15,True,15,0.98
null_gaussian_d2,null,4,knn,1,1,14,38,True,38,3.08
null_gaussian_d2,null,4,gabriel,1,1,14,26,True,26,1.45
null_gaussian_d2,null,4,rng,1,3,14,15,True,15,0.64
null_gaussian_d10,null,0,knn,1,1,14,33,True,33,2.27
null_gaussian_d10,null,0,gabriel,1,1,14,83,True,83,10.39
null_gaussian_d10,null,0,rng,1,1,14,23,True,23,1.28
null_gaussian_d10,null,1,knn,1,1,15,39,True,39,3.06
null_gaussian_d10,null,1,gabriel,1,1,15,89,True,89,9.14
null_gaussian_d10,null,1,rng,1,1,15,22,True,22,0.95
null_gaussian_d10,null,2,knn,1,1,15,36,True,36,1.91
null_gaussian_d10,null,2,gabriel,1,1,15,92,True,92,10.76
null_gaussian_d10,null,2,rng,1,1,15,24,True,24,1.21
null_gaussian_d10,null,3,knn,1,1,16,38,True,38,2.19
null_gaussian_d10,null,3,gabriel,1,1,16,103,True,103,10.6
null_gaussian_d10,null,3,rng,1,1,16,24,True,24,1.17
null_gaussian_d10,null,4,knn,1,1,13,32,True,32,2.3
null_gaussian_d10,null,4,gabriel,1,1,13,66,True,66,6.5
null_gaussian_d10,null,4,rng,1,1,13,14,True,14,0.48
null_uniform_d2,null,0,knn,1,1,15,35,True,35,2.45
null_uniform_d2,null,0,gabriel,1,1,15,26,True,26,1.65
null_uniform_d2,null,0,rng,1,1,15,20,True,20,0.96
null_uniform_d2,null,1,knn,1,1,14,33,True,33,2.2
null_uniform_d2,null,1,gabriel,1,1,14,26,True,26,1.63
null_uniform_d2,null,1,rng,1,3,14,17,True,17,0.92
null_uniform_d2,null,2,knn,1,1,17,41,True,41,3.16
null_uniform_d2,null,2,gabriel,1,1,17,33,True,33,2.42
null_uniform_d2,null,2,rng,1,1,17,24,True,24,1.08
null_uniform_d2,null,3,knn,1,1,17,42,True,42,2.41
null_uniform_d2,null,3,gabriel,1,1,17,31,True,31,1.45
null_uniform_d2,null,3,rng,1,1,17,24,True,24,0.79
null_uniform_d2,null,4,knn,1,1,14,33,True,33,2.58
null_uniform_d2,null,4,gabriel,1,1,14,26,True,26,1.87
null_uniform_d2,null,4,rng,1,1,14,17,True,17,0.93
null_uniform_d10,null,0,knn,1,1,16,36,True,36,2.17
null_uniform_d10,null,0,gabriel,1,1,16,105,True,105,11.93
null_uniform_d10,null,0,rng,1,1,16,25,True,25,0.96
null_uniform_d10,null,1,knn,1,1,14,31,True,31,1.79
null_uniform_d10,null,1,gabriel,1,1,14,83,True,83,11.0
null_uniform_d10,null,1,rng,1,1,14,20,True,20,1.28
null_uniform_d10,null,2,knn,1,1,14,33,True,33,2.57
null_uniform_d10,null,2,gabriel,1,1,14,83,True,83,10.28
null_uniform_d10,null,2,rng,1,1,14,20,True,20,1.09
null_uniform_d10,null,3,knn,1,1,14,32,True,32,2.54
null_uniform_d10,null,3,gabriel,1,1,14,81,True,81,9.43
null_uniform_d10,null,3,rng,1,1,14,20,True,20,1.12
null_uniform_d10,null,4,knn,1,1,17,40,True,40,2.46
null_uniform_d10,null,4,gabriel,1,1,17,115,True,115,14.17
null_uniform_d10,null,4,rng,1,1,17,28,True,28,1.48
null_t3_d2,null,0,knn,1,2,9,26,True,26,2.39
null_t3_d2,null,0,gabriel,1,2,9,13,True,13,1.14
null_t3_d2,null,0,rng,1,5,9,9,True,9,0.79
null_t3_d2,null,1,knn,1,1,1,0,True,0,0.0
null_t3_d2,null,1,gabriel,1,1,1,0,True,0,0.0
null_t3_d2,null,1,rng,1,1,1,0,True,0,0.0
null_t3_d2,null,2,knn,1,1,9,25,True,25,2.24
null_t3_d2,null,2,gabriel,1,3,9,13,True,13,0.91
null_t3_d2,null,2,rng,1,3,9,8,True,8,0.53
null_t3_d2,null,3,knn,1,1,10,28,True,28,2.09
null_t3_d2,null,3,gabriel,1,3,10,13,True,13,1.12
null_t3_d2,null,3,rng,1,4,10,9,True,9,0.84
null_t3_d2,null,4,knn,1,1,7,17,True,17,2.24
null_t3_d2,null,4,gabriel,1,3,7,11,True,11,1.45
null_t3_d2,null,4,rng,1,4,7,6,True,6,0.94
null_t3_d10,null,0,knn,1,1,4,10,True,10,0.62
null_t3_d10,null,0,gabriel,1,1,4,6,True,6,0.22
null_t3_d10,null,0,rng,1,1,4,3,True,3,0.11
null_t3_d10,null,1,knn,1,1,2,3,True,3,0.14
null_t3_d10,null,1,gabriel,1,1,2,1,True,1,0.07
null_t3_d10,null,1,rng,1,1,2,1,True,1,0.06
null_t3_d10,null,2,knn,1,1,9,23,True,23,1.93
null_t3_d10,null,2,gabriel,1,1,9,35,True,35,2.56
null_t3_d10,null,2,rng,1,2,9,10,True,10,0.62
null_t3_d10,null,3,knn,1,1,1,0,True,0,0.0
null_t3_d10,null,3,gabriel,1,1,1,0,True,0,0.0
null_t3_d10,null,3,rng,1,1,1,0,True,0,0.0
null_t3_d10,null,4,knn,1,1,4,10,True,10,1.16
null_t3_d10,null,4,gabriel,1,1,4,6,True,6,0.65
null_t3_d10,null,4,rng,1,2,4,3,True,3,0.48
null_aniso_d2,null,0,knn,1,1,16,39,True,39,3.02
null_aniso_d2,null,0,gabriel,1,1,16,23,True,23,1.26
null_aniso_d2,null,0,rng,1,1,16,16,True,16,0.76
null_aniso_d2,null,1,knn,1,1,15,38,True,38,3.84
null_aniso_d2,null,1,gabriel,1,1,15,23,True,23,2.25
null_aniso_d2,null,1,rng,1,2,15,18,True,18,1.7
null_aniso_d2,null,2,knn,1,1,12,30,True,30,2.67
null_aniso_d2,null,2,gabriel,1,1,12,14,True,14,0.7
null_aniso_d2,null,2,rng,1,1,12,12,True,12,0.45
null_aniso_d2,null,3,knn,1,1,14,34,True,34,1.99
null_aniso_d2,null,3,gabriel,1,1,14,20,True,20,0.81
null_aniso_d2,null,3,rng,1,1,14,13,True,13,0.39
null_aniso_d2,null,4,knn,1,1,15,37,True,37,2.54
null_aniso_d2,null,4,gabriel,1,3,15,21,True,21,1.05
null_aniso_d2,null,4,rng,1,3,15,15,True,15,0.5
null_aniso_d10,null,0,knn,1,1,15,36,True,36,1.6
null_aniso_d10,null,0,gabriel,1,1,15,44,True,44,2.25
null_aniso_d10,null,0,rng,1,1,15,19,True,19,0.68
null_aniso_d10,null,1,knn,1,1,15,37,True,37,2.18
null_aniso_d10,null,1,gabriel,1,1,15,55,True,55,4.23
null_aniso_d10,null,1,rng,1,1,15,19,True,19,0.71
null_aniso_d10,null,2,knn,1,1,16,38,True,38,2.61
null_aniso_d10,null,2,gabriel,1,1,16,55,True,55,5.03
null_aniso_d10,null,2,rng,1,1,16,24,True,24,0.93
null_aniso_d10,null,3,knn,1,1,16,41,True,41,2.4
null_aniso_d10,null,3,gabriel,1,1,16,45,True,45,3.34
null_aniso_d10,null,3,rng,1,1,16,21,True,21,1.01
null_aniso_d10,null,4,knn,1,1,13,31,True,31,3.44
null_aniso_d10,null,4,gabriel,1,1,13,32,True,32,3.87
null_aniso_d10,null,4,rng,1,2,13,14,True,14,1.24
sep_k2_d2,sep,0,knn,2,2,18,44,False,44,4.73
sep_k2_d2,sep,0,gabriel,2,2,18,33,True,33,2.72
sep_k2_d2,sep,0,rng,2,2,18,20,True,20,0.9
sep_k2_d2,sep,1,knn,2,2,21,52,False,52,4.05
sep_k2_d2,sep,1,gabriel,2,2,21,39,True,39,2.35
sep_k2_d2,sep,1,rng,2,2,21,23,True,23,1.29
sep_k2_d2,sep,2,knn,2,3,19,47,False,47,4.43
sep_k2_d2,sep,2,gabriel,2,3,19,29,True,29,1.65
sep_k2_d2,sep,2,rng,2,5,19,22,True,22,1.27
sep_k5_d10,sep,0,knn,5,5,19,46,True,46,4.2
sep_k5_d10,sep,0,gabriel,5,5,19,45,True,45,4.43
sep_k5_d10,sep,0,rng,5,5,19,24,True,24,1.96
sep_k5_d10,sep,1,knn,5,5,17,44,True,44,4.93
sep_k5_d10,sep,1,gabriel,5,5,17,48,True,48,5.49
sep_k5_d10,sep,1,rng,5,5,17,19,True,19,1.44
sep_k5_d10,sep,2,knn,5,5,20,46,False,46,3.05
sep_k5_d10,sep,2,gabriel,5,5,20,66,True,66,5.26
sep_k5_d10,sep,2,rng,5,5,20,21,True,21,0.99
sep_k10_d50,sep,0,knn,10,10,15,43,True,43,13.95
sep_k10_d50,sep,0,gabriel,10,10,15,94,True,94,30.96
sep_k10_d50,sep,0,rng,10,10,15,17,True,17,4.22
sep_k10_d50,sep,1,knn,10,10,18,50,True,50,14.75
sep_k10_d50,sep,1,gabriel,10,10,18,109,True,109,31.67
sep_k10_d50,sep,1,rng,10,10,18,24,True,24,5.61
sep_k10_d50,sep,2,knn,10,10,16,41,True,41,10.82
sep_k10_d50,sep,2,gabriel,10,10,16,85,True,85,27.74
sep_k10_d50,sep,2,rng,10,10,16,19,True,19,5.28
sep_k20_d10,sep,0,knn,20,20,20,53,True,53,6.89
sep_k20_d10,sep,0,gabriel,20,20,20,175,True,175,23.21
sep_k20_d10,sep,0,rng,20,20,20,34,True,34,5.45
sep_k20_d10,sep,1,knn,20,19,19,53,True,53,9.22
sep_k20_d10,sep,1,gabriel,20,19,19,147,True,147,23.02
sep_k20_d10,sep,1,rng,20,19,19,25,True,25,4.34
sep_k20_d10,sep,2,knn,20,20,20,55,True,55,8.48
sep_k20_d10,sep,2,gabriel,20,20,20,170,True,170,23.86
sep_k20_d10,sep,2,rng,20,20,20,31,True,31,4.67
overlap_s4.0,overlap,0,knn,5,5,18,43,True,43,4.06
overlap_s4.0,overlap,0,gabriel,5,5,18,35,True,35,2.84
overlap_s4.0,overlap,0,rng,5,5,18,20,True,20,1.21
overlap_s4.0,overlap,1,knn,5,5,19,45,True,45,3.81
overlap_s4.0,overlap,1,gabriel,5,5,19,37,True,37,2.7
overlap_s4.0,overlap,1,rng,5,6,19,23,True,23,1.35
overlap_s4.0,overlap,2,knn,5,5,20,46,True,46,3.8
overlap_s4.0,overlap,2,gabriel,5,4,20,37,True,37,2.85
overlap_s4.0,overlap,2,rng,5,4,20,28,True,28,1.39
unbal_r20,unbalanced,0,knn,5,5,16,39,True,39,3.84
unbal_r20,unbalanced,0,gabriel,5,5,16,24,True,24,2.36
unbal_r20,unbalanced,0,rng,5,6,16,16,True,16,1.54
unbal_r20,unbalanced,1,knn,5,4,15,37,True,37,4.01
unbal_r20,unbalanced,1,gabriel,5,4,15,23,True,23,1.09
unbal_r20,unbalanced,1,rng,5,4,15,17,True,17,0.67
