dataset,family,rep,true_k,method,k_hat,ARI,n_tests,sep_evidence,runtime
sep_k2_d2,sep,1,2,CDK repaired R1999,2,1.0,52,0.1153846153846153,84.33984732627869
sep_k2_d2,sep,0,2,CDK repaired R1999,2,1.0,44,0.2045454545454545,102.88210344314577
sep_k2_d2,sep,2,2,CDK repaired R1999,2,1.0,47,0.1063829787234042,79.04133105278015
sep_k2_d2,sep,3,2,CDK repaired R1999,2,1.0,41,0.2195121951219512,101.76867532730104
sep_k2_d2,sep,4,2,CDK repaired R1999,2,1.0,48,0.2291666666666666,109.70280647277832
sep_k2_d2,sep,5,2,CDK repaired R1999,2,1.0,47,0.1276595744680851,92.24714136123656
sep_k2_d2,sep,6,2,CDK repaired R1999,2,1.0,39,0.1794871794871795,85.27036905288696
sep_k2_d2,sep,7,2,CDK repaired R1999,2,1.0,54,0.1296296296296296,93.95977687835692
sep_k2_d2,sep,8,2,CDK repaired R1999,2,1.0,42,0.1904761904761904,91.55876970291138
sep_k2_d2,sep,9,2,CDK repaired R1999,2,1.0,38,0.131578947368421,79.10237407684326
sep_k2_d10,sep,0,2,CDK repaired R1999,2,1.0,50,0.0,41.49385595321655
sep_k2_d10,sep,1,2,CDK repaired R1999,2,1.0,49,0.0,42.53695344924927
sep_k2_d10,sep,2,2,CDK repaired R1999,2,1.0,41,0.024390243902439,43.27791690826416
sep_k2_d10,sep,3,2,CDK repaired R1999,2,1.0,44,0.0,40.545647382736206
sep_k2_d10,sep,5,2,CDK repaired R1999,2,1.0,45,0.0,25.265278577804565
sep_k2_d10,sep,4,2,CDK repaired R1999,2,1.0,52,0.0,48.78241539001465
sep_k2_d10,sep,7,2,CDK repaired R1999,2,1.0,42,0.0,28.002036809921265
sep_k2_d10,sep,6,2,CDK repaired R1999,2,1.0,51,0.0,34.11718416213989
sep_k2_d10,sep,9,2,CDK repaired R1999,2,1.0,50,0.0,25.337553024291992
sep_k2_d50,sep,0,2,CDK repaired R1999,2,1.0,33,0.0,10.04356837272644
sep_k2_d50,sep,1,2,CDK repaired R1999,2,1.0,45,0.0,5.879674673080444
sep_k2_d50,sep,2,2,CDK repaired R1999,2,1.0,36,0.0,21.051480293273926
sep_k2_d50,sep,3,2,CDK repaired R1999,2,1.0,44,0.0,17.17043423652649
sep_k2_d50,sep,4,2,CDK repaired R1999,2,1.0,36,0.0,15.055848360061646
sep_k3_d2,sep,0,3,CDK repaired R1999,3,1.0,34,0.2647058823529412,69.7394917011261
sep_k3_d2,sep,1,3,CDK repaired R1999,3,1.0,30,0.16666666666666666,64.66480207443237
sep_k3_d2,sep,2,3,CDK repaired R1999,3,0.9962429541292189,30,0.26666666666666666,53.26969313621521
sep_k3_d2,sep,3,3,CDK repaired R1999,3,1.0,36,0.1111111111111111,62.846362829208374
sep_k3_d2,sep,4,3,CDK repaired R1999,3,1.0,34,0.23529411764705882,68.35165166854858
sep_k3_d10,sep,0,3,CDK repaired R1999,3,1.0,46,0.021739130434782608,65.27311682701111
sep_k3_d10,sep,1,3,CDK repaired R1999,3,1.0,43,0.0,34.46191763877869
sep_k3_d10,sep,2,3,CDK repaired R1999,3,1.0,46,0.021739130434782608,33.62365221977234
sep_k3_d10,sep,3,3,CDK repaired R1999,3,1.0,39,0.02564102564102564,38.4819221496582
sep_k3_d10,sep,4,3,CDK repaired R1999,3,1.0,39,0.0,50.151599407196045
sep_k3_d50,sep,1,3,CDK repaired R1999,3,1.0,38,0.0,4.581128835678101
sep_k3_d50,sep,0,3,CDK repaired R1999,3,1.0,34,0.11764705882352941,31.122103214263916
sep_k3_d50,sep,2,3,CDK repaired R1999,3,1.0,44,0.0,6.055887222290039
sep_k3_d50,sep,4,3,CDK repaired R1999,3,1.0,34,0.0,4.409793376922607
sep_k3_d50,sep,3,3,CDK repaired R1999,3,1.0,33,0.21212121212121213,67.48055529594421
sep_k5_d2,sep,0,5,CDK repaired R1999,5,0.981463313194489,40,0.425,91.84167218208313
sep_k5_d2,sep,1,5,CDK repaired R1999,5,0.9785020843697608,38,0.4473684210526316,88.79048275947571
sep_k5_d2,sep,2,5,CDK repaired R1999,5,1.0,41,0.4878048780487805,94.81239151954651
sep_k5_d2,sep,3,5,CDK repaired R1999,5,0.9439888565124597,41,0.4146341463414634,97.64425897598267
sep_k5_d2,sep,4,5,CDK repaired R1999,5,0.9814335452659734,41,0.4878048780487805,77.54356384277344
sep_k5_d10,sep,0,5,CDK repaired R1999,5,0.9968691099886755,46,0.41304347826086957,84.97557997703552
sep_k5_d10,sep,1,5,CDK repaired R1999,5,0.9968691099886755,44,0.5227272727272727,87.7782552242279
sep_k5_d10,sep,2,5,CDK repaired R1999,5,0.9968691099886755,46,0.32608695652173914,64.45425176620483
sep_k5_d10,sep,3,5,CDK repaired R1999,5,0.9691923778047782,46,0.43478260869565216,90.94094347953796
sep_k5_d10,sep,4,5,CDK repaired R1999,5,0.9968691099886755,45,0.4444444444444444,90.02609467506409
sep_k5_d50,sep,0,5,CDK repaired R1999,5,0.9844251718430678,43,0.5116279069767442,136.59645795822144
sep_k5_d50,sep,1,5,CDK repaired R1999,5,1.0,42,0.47619047619047616,135.4179413318634
sep_k5_d50,sep,2,5,CDK repaired R1999,5,0.9968691099886755,39,0.5128205128205128,143.078852891922
sep_k5_d50,sep,3,5,CDK repaired R1999,5,1.0,45,0.4444444444444444,121.46094679832458
sep_k10_d2,sep,0,10,CDK repaired R1999,9,0.880607691197348,47,0.7872340425531915,124.53454446792603
sep_k5_d50,sep,4,5,CDK repaired R1999,5,0.9968691099886755,29,0.6551724137931034,156.04985213279724
sep_k10_d2,sep,1,10,CDK repaired R1999,9,0.8795304673571492,49,0.7755102040816326,132.21264386177063
sep_k10_d2,sep,2,10,CDK repaired R1999,10,0.978234940587205,47,0.8085106382978723,135.914883852005
sep_k10_d2,sep,3,10,CDK repaired R1999,9,0.8917973631583915,52,0.7884615384615384,139.41566371917725
sep_k10_d2,sep,4,10,CDK repaired R1999,10,0.9944517015171701,50,0.8,130.1198935508728
sep_k10_d10,sep,1,10,CDK repaired R1999,10,0.9861647593691866,50,0.82,151.86095476150513
sep_k10_d10,sep,0,10,CDK repaired R1999,10,0.9646751971144223,50,0.84,165.2411835193634
sep_k10_d10,sep,2,10,CDK repaired R1999,10,0.9452503589318512,44,0.8181818181818182,144.02945184707642
sep_k10_d10,sep,3,10,CDK repaired R1999,10,0.9888334859883282,52,0.8269230769230769,159.80040907859802
sep_k10_d10,sep,4,10,CDK repaired R1999,10,0.9645639758359328,51,0.8235294117647058,164.211989402771
sep_k10_d50,sep,0,10,CDK repaired R1999,10,0.9722647583904148,43,0.8837209302325582,248.10821914672852
sep_k10_d50,sep,1,10,CDK repaired R1999,10,0.9833738334290381,50,0.84,252.1778519153595
sep_k10_d50,sep,2,10,CDK repaired R1999,10,0.9617582384384438,41,0.8536585365853658,218.2476351261139
sep_k10_d50,sep,3,10,CDK repaired R1999,10,0.986112673962375,48,0.8125,214.56574368476868
sep_k10_d50,sep,4,10,CDK repaired R1999,10,0.9161839439200041,41,0.8536585365853658,224.57593441009521
sep_k20_d2,sep,0,20,CDK repaired R1999,18,0.8147082537237985,46,0.9782608695652174,153.6100878715515
sep_k20_d2,sep,1,20,CDK repaired R1999,16,0.7146291277918624,48,0.9166666666666666,154.2659182548523
sep_k20_d2,sep,2,20,CDK repaired R1999,18,0.7808350223273424,47,0.9787234042553191,153.28443002700806
sep_k20_d2,sep,3,20,CDK repaired R1999,16,0.6863034632463153,46,0.9347826086956522,153.25558614730835
sep_k20_d2,sep,4,20,CDK repaired R1999,20,0.9419494733174704,47,1.0,150.15075516700745
sep_k20_d10,sep,0,20,CDK repaired R1999,20,0.9088436801594809,53,1.0,204.45304322242737
sep_k20_d10,sep,1,20,CDK repaired R1999,19,0.8431069759323546,53,1.0,211.12683129310608
sep_k20_d10,sep,2,20,CDK repaired R1999,20,0.8884165446827014,55,1.0,209.1537573337555
sep_k20_d10,sep,3,20,CDK repaired R1999,20,0.8995357712564676,53,1.0,206.6089472770691
sep_k20_d10,sep,4,20,CDK repaired R1999,20,0.9079098829052921,53,1.0,206.41488003730774
sep_k20_d50,sep,0,20,CDK repaired R1999,20,0.886580150769292,54,1.0,282.4580180644989
sep_k20_d50,sep,1,20,CDK repaired R1999,19,0.8171833923307001,58,1.0,329.7680962085724
sep_k20_d50,sep,2,20,CDK repaired R1999,20,0.8598903517968962,55,1.0,291.30753540992737
sep_k20_d50,sep,3,20,CDK repaired R1999,20,0.8918924659393194,61,1.0,319.8267195224762
overlap_s6.0,overlap,0,5,CDK repaired R1999,5,0.984444616051696,42,0.42857142857142855,84.92564105987549
sep_k20_d50,sep,4,20,CDK repaired R1999,19,0.8470883898108316,60,1.0,338.6418740749359
overlap_s6.0,overlap,1,5,CDK repaired R1999,5,0.9404896074356037,37,0.4864864864864865,87.46368479728699
overlap_s6.0,overlap,2,5,CDK repaired R1999,5,0.9783828090746228,44,0.4772727272727273,93.2732663154602
overlap_s6.0,overlap,3,5,CDK repaired R1999,5,0.9722165478813642,41,0.5121951219512195,84.35557818412781
overlap_s6.0,overlap,4,5,CDK repaired R1999,5,0.9813429124706873,44,0.36363636363636365,82.16001987457275
overlap_s4.0,overlap,0,5,CDK repaired R1999,1,0.0,43,0.3488372093023256,94.29569029808044
overlap_s4.0,overlap,1,5,CDK repaired R1999,4,0.7044058343253627,45,0.37777777777777777,91.96433186531067
overlap_s4.0,overlap,2,5,CDK repaired R1999,2,0.1956678186067043,46,0.2608695652173913,70.67096877098083
overlap_s4.0,overlap,3,5,CDK repaired R1999,3,0.4166531630086475,46,0.32608695652173914,88.71905040740967
