dataset,family,rep,true_k,k_hat,n_tests,sep_evidence,p_median,secs
null_gaussian_d2,null,0,1,1,36,0.3055555555555556,0.0675,7.5
null_gaussian_d2,null,1,1,1,31,0.3870967741935484,0.09,5.55
null_gaussian_d2,null,2,1,1,33,0.42424242424242425,0.14,6.62
null_gaussian_d2,null,3,1,1,36,0.3055555555555556,0.07750000000000001,7.55
null_gaussian_d2,null,4,1,1,38,0.3684210526315789,0.12000000000000001,7.64
null_gaussian_d10,null,0,1,1,33,0.06060606060606061,0.5769230769230769,5.86
null_gaussian_d10,null,1,1,1,39,0.0,0.46153846153846156,6.2
null_gaussian_d10,null,2,1,1,36,0.027777777777777776,0.5384615384615384,5.35
null_gaussian_d10,null,3,1,1,38,0.10526315789473684,0.6923076923076923,5.84
null_gaussian_d10,null,4,1,1,32,0.0,0.7307692307692307,5.16
null_uniform_d2,null,0,1,1,35,0.45714285714285713,0.07,7.37
null_uniform_d2,null,1,1,1,33,0.3939393939393939,0.06,6.21
null_uniform_d2,null,2,1,1,41,0.2926829268292683,0.06,7.45
null_uniform_d2,null,3,1,1,42,0.35714285714285715,0.1725,6.93
null_uniform_d2,null,4,1,1,33,0.3939393939393939,0.03,8.27
null_uniform_d10,null,0,1,1,36,0.05555555555555555,0.46153846153846156,6.45
null_uniform_d10,null,1,1,1,31,0.0967741935483871,0.5769230769230769,4.75
null_uniform_d10,null,2,1,1,33,0.06060606060606061,0.5384615384615384,5.66
null_uniform_d10,null,3,1,1,32,0.1875,0.4230769230769231,6.73
null_uniform_d10,null,4,1,1,40,0.025,0.34615384615384615,7.17
null_t3_d2,null,0,1,1,26,0.5384615384615384,0.0075,6.98
null_t3_d2,null,1,1,1,0,0.0,,0.0
null_t3_d2,null,2,1,1,25,0.4,0.03,6.92
null_t3_d2,null,3,1,1,28,0.32142857142857145,0.13,5.69
null_t3_d2,null,4,1,2,17,0.6470588235294118,0.005,5.52
null_t3_d10,null,0,1,1,10,0.2,1.0,1.99
null_t3_d10,null,1,1,1,3,0.3333333333333333,1.0,1.1
null_t3_d10,null,2,1,1,23,0.17391304347826086,0.9615384615384616,4.44
null_t3_d10,null,3,1,1,0,0.0,,0.0
null_t3_d10,null,4,1,1,10,0.0,1.0,0.9
null_aniso_d2,null,0,1,1,39,0.38461538461538464,0.16,6.7
null_aniso_d2,null,1,1,2,38,0.47368421052631576,0.015,8.54
null_aniso_d2,null,2,1,1,30,0.43333333333333335,0.10250000000000001,6.1
null_aniso_d2,null,3,1,1,34,0.38235294117647056,0.2811188811188811,5.45
null_aniso_d2,null,4,1,1,37,0.35135135135135137,0.085,7.12
null_aniso_d10,null,0,1,1,36,0.1111111111111111,0.5,4.84
null_aniso_d10,null,1,1,1,37,0.1891891891891892,0.5,6.61
null_aniso_d10,null,2,1,1,38,0.10526315789473684,0.3479020979020979,7.09
null_aniso_d10,null,3,1,1,41,0.1951219512195122,0.4230769230769231,7.61
null_aniso_d10,null,4,1,1,31,0.1935483870967742,0.38461538461538464,7.05
sep_k2_d2,sep,0,2,2,44,0.4090909090909091,0.1525,8.76
sep_k2_d2,sep,1,2,2,52,0.2692307692307692,0.19,9.08
sep_k2_d2,sep,2,2,3,47,0.3191489361702128,0.155,9.21
sep_k5_d2,sep,0,5,5,40,0.45,0.0175,8.7
sep_k5_d2,sep,1,5,5,38,0.47368421052631576,0.015,9.15
sep_k5_d2,sep,2,5,5,41,0.5365853658536586,0.01,8.81
sep_k5_d10,sep,0,5,5,46,0.43478260869565216,0.135,10.44
sep_k5_d10,sep,1,5,5,44,0.5227272727272727,0.005,10.09
sep_k5_d10,sep,2,5,5,46,0.34782608695652173,0.3846153846153846,8.64
sep_k10_d50,sep,0,10,10,43,0.8837209302325582,0.005,28.03
sep_k10_d50,sep,1,10,10,50,0.84,0.005,29.68
sep_k10_d50,sep,2,10,10,41,0.8536585365853658,0.005,25.45
sep_k20_d2,sep,0,20,19,46,1.0,0.005,14.83
sep_k20_d2,sep,1,20,20,48,1.0,0.005,14.87
sep_k20_d2,sep,2,20,19,47,1.0,0.005,14.77
overlap_s4.0,overlap,0,5,5,43,0.5116279069767442,0.005,9.21
overlap_s4.0,overlap,1,5,5,45,0.4666666666666667,0.03,10.05
overlap_s4.0,overlap,2,5,5,46,0.43478260869565216,0.18712962962962962,8.38
unbal_r20,unbalanced,0,5,5,39,0.48717948717948717,0.015,9.35
unbal_r20,unbalanced,1,5,4,37,0.4864864864864865,0.07,7.58
unbal_r20,unbalanced,2,5,4,51,0.37254901960784315,0.155,10.48
elong_c5,elongated,0,4,3,50,0.68,0.005,13.01
elong_c5,elongated,1,4,5,47,0.723404255319149,0.005,12.88
elong_c5,elongated,2,4,5,45,0.6222222222222222,0.005,10.87
noise_30,noise,0,4,5,27,0.7037037037037037,0.005,9.55
noise_30,noise,1,4,6,23,0.7391304347826086,0.005,9.92
noise_30,noise,2,4,5,33,0.5151515151515151,0.01,9.66
nested_d2,nested,0,6,6,55,0.509090909090909,0.01,10.9
nested_d2,nested,1,6,6,54,0.46296296296296297,0.027500000000000004,9.42
nested_d2,nested,2,6,6,56,0.39285714285714285,0.0525,10.97
