dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,conf_lo,conf_hi,sep_evidence,p_median,ARI,AMI,NMI
sep_k2_d2,sep,1,800,2,2,CDK knn+2ec,2,4.690976142883301,52,21,2,2,0.28846153846153844,0.38461538461538464,1.0,1.0,1.0
sep_k2_d2,sep,0,800,2,2,CDK knn+2ec,2,5.181710720062256,44,18,2,3,0.4090909090909091,0.05,1.0,1.0,1.0
sep_k2_d2,sep,2,800,2,2,CDK knn+2ec,3,4.5300140380859375,47,19,2,3,0.40425531914893614,0.095,0.939144206126726,0.9200446375817923,0.9201787941782873
sep_k2_d2,sep,3,800,2,2,CDK knn+2ec,2,4.097493886947632,41,17,2,2,0.36585365853658536,0.135,1.0,1.0,1.0
sep_k2_d2,sep,5,800,2,2,CDK knn+2ec,2,4.193149089813232,47,19,2,2,0.425531914893617,0.055,1.0,1.0,1.0
sep_k2_d2,sep,4,800,2,2,CDK knn+2ec,2,5.864501476287842,48,19,2,2,0.5,0.015,1.0,1.0,1.0
sep_k2_d2,sep,6,800,2,2,CDK knn+2ec,2,4.678380489349365,39,16,2,3,0.5128205128205128,0.01,1.0,1.0,1.0
sep_k2_d2,sep,7,800,2,2,CDK knn+2ec,2,4.752516508102417,54,21,2,2,0.37037037037037035,0.2121153846153846,1.0,1.0,1.0
sep_k2_d2,sep,8,800,2,2,CDK knn+2ec,2,4.489664554595947,42,17,2,3,0.47619047619047616,0.0175,1.0,1.0,1.0
sep_k2_d2,sep,9,800,2,2,CDK knn+2ec,2,4.223654747009277,38,16,2,3,0.3157894736842105,0.09,1.0,1.0,1.0
sep_k2_d2,sep,10,800,2,2,CDK knn+2ec,2,3.9597604274749756,38,16,2,2,0.39473684210526316,0.125,1.0,1.0,1.0
sep_k2_d2,sep,11,800,2,2,CDK knn+2ec,2,3.5634143352508545,42,17,2,2,0.38095238095238093,0.2628205128205128,1.0,1.0,1.0
sep_k2_d2,sep,12,800,2,2,CDK knn+2ec,2,4.4161412715911865,55,22,2,3,0.2909090909090909,0.38461538461538464,1.0,1.0,1.0
sep_k2_d2,sep,13,800,2,2,CDK knn+2ec,2,3.5259647369384766,41,17,2,2,0.3902439024390244,0.26666666666666666,1.0,1.0,1.0
sep_k2_d2,sep,15,800,2,2,CDK knn+2ec,2,4.056695938110352,50,20,2,2,0.32,0.2669683257918552,1.0,1.0,1.0
sep_k2_d2,sep,14,800,2,2,CDK knn+2ec,2,5.516050577163696,52,20,2,5,0.36538461538461536,0.045,1.0,1.0,1.0
sep_k2_d2,sep,16,800,2,2,CDK knn+2ec,2,3.9717671871185303,39,16,2,2,0.41025641025641024,0.175,1.0,1.0,1.0
sep_k2_d2,sep,17,800,2,2,CDK knn+2ec,2,5.297505140304565,54,22,2,2,0.37037037037037035,0.06,1.0,1.0,1.0
sep_k2_d2,sep,18,800,2,2,CDK knn+2ec,2,4.738842487335205,46,18,2,3,0.3695652173913043,0.060000000000000005,1.0,1.0,1.0
sep_k2_d2,sep,19,800,2,2,CDK knn+2ec,2,3.584307909011841,38,16,2,2,0.34210526315789475,0.2196153846153846,1.0,1.0,1.0
sep_k2_d10,sep,0,800,10,2,CDK knn+2ec,2,2.662031412124634,50,21,2,2,0.0,0.5769230769230769,1.0,1.0,1.0
sep_k2_d10,sep,1,800,10,2,CDK knn+2ec,2,3.4060118198394775,49,21,2,2,0.061224489795918366,0.6538461538461539,1.0,1.0,1.0
sep_k2_d10,sep,2,800,10,2,CDK knn+2ec,2,3.8826987743377686,41,17,2,2,0.07317073170731707,0.5384615384615384,1.0,1.0,1.0
sep_k2_d10,sep,3,800,10,2,CDK knn+2ec,2,3.4950318336486816,44,19,2,2,0.045454545454545456,0.8461538461538461,1.0,1.0,1.0
sep_k2_d10,sep,5,800,10,2,CDK knn+2ec,2,2.186147928237915,45,20,2,2,0.0,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,4,800,10,2,CDK knn+2ec,2,4.167179822921753,52,21,2,2,0.057692307692307696,0.6153846153846154,1.0,1.0,1.0
sep_k2_d10,sep,7,800,10,2,CDK knn+2ec,2,2.3468635082244873,42,19,2,2,0.023809523809523808,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,6,800,10,2,CDK knn+2ec,2,2.565892457962036,51,22,2,2,0.0196078431372549,0.8846153846153846,1.0,1.0,1.0
sep_k2_d10,sep,9,800,10,2,CDK knn+2ec,2,2.842327117919922,50,21,2,2,0.04,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,8,800,10,2,CDK knn+2ec,2,4.211316108703613,42,18,2,2,0.07142857142857142,0.5961538461538461,1.0,1.0,1.0
sep_k2_d10,sep,10,800,10,2,CDK knn+2ec,2,3.8819189071655273,47,20,2,2,0.0851063829787234,0.6923076923076923,1.0,1.0,1.0
sep_k2_d10,sep,11,800,10,2,CDK knn+2ec,2,3.1856577396392822,43,19,2,2,0.023255813953488372,0.6923076923076923,1.0,1.0,1.0
sep_k2_d10,sep,12,800,10,2,CDK knn+2ec,2,3.3077750205993652,47,19,2,2,0.0425531914893617,0.8076923076923077,1.0,1.0,1.0
sep_k2_d10,sep,13,800,10,2,CDK knn+2ec,2,3.94787859916687,48,20,2,2,0.0625,0.4807692307692308,1.0,1.0,1.0
sep_k2_d10,sep,14,800,10,2,CDK knn+2ec,2,4.0448150634765625,45,19,2,2,0.08888888888888889,0.46153846153846156,1.0,1.0,1.0
sep_k2_d10,sep,15,800,10,2,CDK knn+2ec,2,3.0497868061065674,46,20,2,2,0.043478260869565216,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,17,800,10,2,CDK knn+2ec,2,3.242067813873291,42,18,2,2,0.047619047619047616,0.5769230769230769,1.0,1.0,1.0
sep_k2_d10,sep,16,800,10,2,CDK knn+2ec,2,4.1007561683654785,47,20,2,2,0.0851063829787234,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,18,800,10,2,CDK knn+2ec,2,3.958513021469116,43,19,2,2,0.09302325581395349,0.8076923076923077,1.0,1.0,1.0
sep_k2_d10,sep,19,800,10,2,CDK knn+2ec,2,4.634340763092041,46,19,2,2,0.10869565217391304,0.4807692307692308,1.0,1.0,1.0
sep_k2_d50,sep,0,800,50,2,CDK knn+2ec,2,5.2101662158966064,33,14,2,2,0.030303030303030304,1.0,1.0,1.0,1.0
sep_k2_d50,sep,1,800,50,2,CDK knn+2ec,2,5.6645348072052,45,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,2,800,50,2,CDK knn+2ec,2,5.578275918960571,36,15,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,3,800,50,2,CDK knn+2ec,2,4.232134819030762,44,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,5,800,50,2,CDK knn+2ec,2,5.149861574172974,48,18,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,4,800,50,2,CDK knn+2ec,2,5.647009611129761,36,15,2,2,0.0,1.0,1.0,1.0,1.0
sep_k2_d50,sep,6,800,50,2,CDK knn+2ec,2,4.810750961303711,40,16,2,2,0.025,1.0,1.0,1.0,1.0
sep_k2_d50,sep,7,800,50,2,CDK knn+2ec,2,5.315955877304077,43,17,2,2,0.023255813953488372,1.0,1.0,1.0,1.0
sep_k2_d50,sep,8,800,50,2,CDK knn+2ec,2,4.584700345993042,46,18,2,2,0.0,1.0,1.0,1.0,1.0
