dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,0,800,2,2,ORACLE k-means(k*),2,0.023965120315551758,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK (proposed),2,3.4504470825195312,1.0,1.0,1.0,2.0,3.0,44.0,18.0,0.4090909090909091,0.05,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK / Gaussian null,2,6.123929738998413,1.0,1.0,1.0,2.0,8.0,44.0,18.0,0.45454545454545453,0.015,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK / AD statistic,2,3.5168089866638184,1.0,1.0,1.0,2.0,2.0,44.0,18.0,0.2727272727272727,0.3653846153846154,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK / no multiplicity corr.,2,3.2943739891052246,1.0,1.0,1.0,2.0,3.0,44.0,18.0,0.5,0.05,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK / n_min=15,2,5.067275047302246,1.0,1.0,1.0,2.0,2.0,85.0,32.0,0.3176470588235294,0.12,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK / n_min=40,2,1.8877222537994385,1.0,1.0,1.0,2.0,2.0,19.0,8.0,0.5263157894736842,0.005,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Silhouette,2,0.14949560165405273,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Calinski-Har.,2,0.08422589302062988,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Davies-Bouldin,2,0.09591937065124512,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Elbow (Kneedle),6,0.0861513614654541,0.3325206614738088,0.5569627372145665,0.5580823789331776,,,,,,,4,4,0.0
sep_k2_d2,sep,0,800,2,2,Jump statistic,2,0.08080387115478516,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Gap statistic,2,0.34275269508361816,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,X-means,2,0.00874185562133789,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,G-means,2,0.007939338684082031,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,dip-means,2,0.03694510459899902,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,ISODATA,7,0.01890420913696289,0.2950407873256255,0.5277412206629767,0.5291001653137448,,,,,,,5,5,0.0
sep_k2_d2,sep,0,800,2,2,MDL split/merge,2,0.006037235260009766,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,GMM+BIC,2,0.15325331687927246,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,GMM+ICL,2,0.15749263763427734,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,HDBSCAN,2,0.005639791488647461,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Bisecting+Sil.,2,0.10957455635070801,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,ORACLE k-means(k*),2,0.019112348556518555,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,CDK (proposed),2,3.361931800842285,1.0,1.0,1.0,2.0,2.0,52.0,21.0,0.28846153846153844,0.38461538461538464,0,0,1.0
sep_k2_d2,sep,1,800,2,2,CDK / Gaussian null,2,6.611852169036865,1.0,1.0,1.0,2.0,8.0,52.0,21.0,0.36538461538461536,0.025,0,0,1.0
sep_k2_d2,sep,1,800,2,2,CDK / AD statistic,2,4.9883692264556885,1.0,1.0,1.0,2.0,2.0,52.0,21.0,0.25,0.3653846153846154,0,0,1.0
sep_k2_d2,sep,1,800,2,2,CDK / no multiplicity corr.,2,2.970655918121338,1.0,1.0,1.0,2.0,3.0,52.0,21.0,0.3076923076923077,0.38461538461538464,0,0,1.0
sep_k2_d2,sep,1,800,2,2,CDK / n_min=15,2,5.063748359680176,1.0,1.0,1.0,2.0,2.0,85.0,32.0,0.2,0.225,0,0,1.0
