dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI,conf_lo,conf_hi,n_tests,k_init,sep_evidence,p_median,abs_err,signed_err,exact
sep_k2_d2,sep,0,800,2,2,ORACLE k-means(k*),2,0.03870439529418945,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,CDK (proposed),2,3.2982230186462402,1.0,1.0,1.0,2.0,3.0,44.0,18.0,0.4090909090909091,0.05,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Silhouette,2,0.16743040084838867,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Calinski-Har.,2,0.08310794830322266,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Davies-Bouldin,2,0.09651684761047363,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Elbow (Kneedle),6,0.08431744575500488,0.3325206614738088,0.5569627372145665,0.5580823789331776,,,,,,,4,4,0.0
sep_k2_d2,sep,0,800,2,2,Jump statistic,2,0.08042454719543457,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Gap statistic,2,0.3588986396789551,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,X-means,2,0.011444330215454102,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,G-means,2,0.012366056442260742,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,dip-means,2,0.04331564903259277,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,ISODATA,7,0.02090001106262207,0.2950407873256255,0.5277412206629767,0.5291001653137448,,,,,,,5,5,0.0
sep_k2_d2,sep,0,800,2,2,MDL split/merge,2,0.007581949234008789,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,GMM+BIC,2,0.19073867797851562,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,GMM+ICL,2,0.1797795295715332,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,HDBSCAN,2,0.011898279190063477,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,0,800,2,2,Bisecting+Sil.,2,0.10842657089233398,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,ORACLE k-means(k*),2,0.02583789825439453,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,CDK (proposed),2,3.5315427780151367,1.0,1.0,1.0,2.0,2.0,52.0,21.0,0.28846153846153844,0.38461538461538464,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Silhouette,2,0.19396758079528809,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Calinski-Har.,2,0.10753345489501953,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Davies-Bouldin,2,0.125046968460083,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Elbow (Kneedle),6,0.11331796646118164,0.3340689265880116,0.5574691883454255,0.5585885866540069,,,,,,,4,4,0.0
sep_k2_d2,sep,1,800,2,2,Jump statistic,2,0.10356712341308594,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Gap statistic,2,0.4122755527496338,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,X-means,2,0.009435892105102539,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,G-means,2,0.01077413558959961,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,dip-means,2,0.04325461387634277,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,ISODATA,7,0.021544694900512695,0.29460823440299916,0.5277689305929629,0.5291278977839301,,,,,,,5,5,0.0
sep_k2_d2,sep,1,800,2,2,MDL split/merge,2,0.006690263748168945,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,GMM+BIC,2,0.19300031661987305,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,GMM+ICL,2,0.2084369659423828,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,HDBSCAN,2,0.011010885238647461,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,1,800,2,2,Bisecting+Sil.,2,0.13359618186950684,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,ORACLE k-means(k*),2,0.002446889877319336,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,CDK (proposed),3,3.196058511734009,0.939144206126726,0.9200446375817923,0.9201787941782873,2.0,3.0,47.0,19.0,0.40425531914893614,0.095,1,1,0.0
sep_k2_d2,sep,2,800,2,2,Silhouette,2,0.17785072326660156,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Calinski-Har.,2,0.10942363739013672,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Davies-Bouldin,2,0.12729835510253906,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Elbow (Kneedle),6,0.10531735420227051,0.336143717806333,0.5581772883619807,0.5592963451800642,,,,,,,4,4,0.0
sep_k2_d2,sep,2,800,2,2,Jump statistic,2,0.08298730850219727,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,Gap statistic,2,0.3283247947692871,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,X-means,2,0.008105278015136719,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,G-means,2,0.007552146911621094,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,dip-means,2,0.033431053161621094,1.0,1.0,1.0,,,,,,,0,0,1.0
sep_k2_d2,sep,2,800,2,2,ISODATA,2,0.015484094619750977,1.0,1.0,1.0,,,,,,,0,0,1.0
