dataset,family,rep,n,d,true_k,method,k_hat,runtime,n_tests,k_init,sep_evidence,p_median,ARI,AMI,NMI
sep_k2_d2,sep,1,800,2,2,CDK repaired,2,6.855647325515747,52,21,0.23076923076923078,0.2692307692307692,1.0,1.0,1.0
sep_k2_d2,sep,0,800,2,2,CDK repaired,2,7.708323955535889,44,18,0.3409090909090909,0.065,1.0,1.0,1.0
sep_k2_d2,sep,2,800,2,2,CDK repaired,2,6.58322548866272,47,19,0.2553191489361702,0.22,1.0,1.0,1.0
sep_k2_d2,sep,3,800,2,2,CDK repaired,2,7.9918212890625,41,17,0.34146341463414637,0.085,1.0,1.0,1.0
sep_k2_d2,sep,4,800,2,2,CDK repaired,2,9.31824254989624,48,19,0.3958333333333333,0.045,1.0,1.0,1.0
sep_k2_d2,sep,5,800,2,2,CDK repaired,2,8.096844911575317,47,19,0.3617021276595745,0.115,1.0,1.0,1.0
sep_k2_d2,sep,6,800,2,2,CDK repaired,2,6.851006507873535,39,16,0.38461538461538464,0.06,1.0,1.0,1.0
sep_k2_d2,sep,7,800,2,2,CDK repaired,2,7.4801414012908936,54,21,0.25925925925925924,0.20461538461538462,1.0,1.0,1.0
sep_k2_d2,sep,8,800,2,2,CDK repaired,2,7.5925304889678955,42,17,0.35714285714285715,0.04,1.0,1.0,1.0
sep_k2_d2,sep,9,800,2,2,CDK repaired,2,6.330548524856567,38,16,0.2631578947368421,0.20407894736842103,1.0,1.0,1.0
sep_k2_d2,sep,10,800,2,2,CDK repaired,2,6.263504266738892,38,16,0.2894736842105263,0.1325,1.0,1.0,1.0
sep_k2_d2,sep,11,800,2,2,CDK repaired,2,6.999654531478882,42,17,0.30952380952380953,0.14250000000000002,1.0,1.0,1.0
sep_k2_d2,sep,12,800,2,2,CDK repaired,2,7.305152654647827,55,22,0.21818181818181817,0.2619047619047619,1.0,1.0,1.0
sep_k2_d2,sep,13,800,2,2,CDK repaired,2,6.879006862640381,41,17,0.2926829268292683,0.17,1.0,1.0,1.0
sep_k2_d2,sep,15,800,2,2,CDK repaired,2,7.091849088668823,50,20,0.24,0.23658227848101265,1.0,1.0,1.0
sep_k2_d2,sep,14,800,2,2,CDK repaired,2,8.334678173065186,52,20,0.28846153846153844,0.08249999999999999,1.0,1.0,1.0
sep_k2_d2,sep,16,800,2,2,CDK repaired,2,6.369298696517944,39,16,0.3076923076923077,0.135,1.0,1.0,1.0
sep_k2_d2,sep,17,800,2,2,CDK repaired,2,8.082340478897095,54,22,0.2962962962962963,0.1225,1.0,1.0,1.0
sep_k2_d2,sep,18,800,2,2,CDK repaired,2,8.238088130950928,46,18,0.30434782608695654,0.0325,1.0,1.0,1.0
sep_k2_d2,sep,19,800,2,2,CDK repaired,2,6.7582848072052,38,16,0.23684210526315788,0.14250000000000002,1.0,1.0,1.0
sep_k2_d10,sep,0,800,10,2,CDK repaired,2,4.507939577102661,50,21,0.0,0.5961538461538461,1.0,1.0,1.0
sep_k2_d10,sep,1,800,10,2,CDK repaired,2,4.553020000457764,49,21,0.02040816326530612,0.8076923076923077,1.0,1.0,1.0
sep_k2_d10,sep,2,800,10,2,CDK repaired,2,4.503746032714844,41,17,0.024390243902439025,0.6538461538461539,1.0,1.0,1.0
sep_k2_d10,sep,3,800,10,2,CDK repaired,2,4.506403207778931,44,19,0.045454545454545456,0.7884615384615385,1.0,1.0,1.0
sep_k2_d10,sep,5,800,10,2,CDK repaired,2,3.904876947402954,45,20,0.022222222222222223,0.6153846153846154,1.0,1.0,1.0
sep_k2_d10,sep,4,800,10,2,CDK repaired,2,6.144806861877441,52,21,0.019230769230769232,0.5,1.0,1.0,1.0
sep_k2_d10,sep,6,800,10,2,CDK repaired,2,3.5097248554229736,51,22,0.0392156862745098,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,7,800,10,2,CDK repaired,2,3.4651424884796143,42,19,0.07142857142857142,0.75,1.0,1.0,1.0
sep_k2_d10,sep,9,800,10,2,CDK repaired,2,3.8223304748535156,50,21,0.0,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,8,800,10,2,CDK repaired,2,5.824281930923462,42,18,0.07142857142857142,0.5384615384615384,1.0,1.0,1.0
sep_k2_d10,sep,10,800,10,2,CDK repaired,2,4.531370162963867,47,20,0.0425531914893617,0.6923076923076923,1.0,1.0,1.0
sep_k2_d10,sep,11,800,10,2,CDK repaired,2,4.90045166015625,43,19,0.023255813953488372,0.7307692307692307,1.0,1.0,1.0
sep_k2_d10,sep,12,800,10,2,CDK repaired,2,5.0564351081848145,47,19,0.0,0.6923076923076923,1.0,1.0,1.0
sep_k2_d10,sep,13,800,10,2,CDK repaired,2,5.568440914154053,48,20,0.020833333333333332,0.7115384615384615,1.0,1.0,1.0
sep_k2_d10,sep,15,800,10,2,CDK repaired,2,4.158169984817505,46,20,0.021739130434782608,0.6730769230769231,1.0,1.0,1.0
