dataset,family,rep,true_k,gamma,k_hat,ARI,sep_evidence,secs
noise_10,noise,0,4,0.0,5,0.9215928695949668,0.6666666666666666,4.3
noise_10,noise,0,4,0.1,4,1.0,0.5555555555555556,4.5
noise_10,noise,0,4,0.2,4,1.0,0.5555555555555556,4.3
noise_10,noise,1,4,0.0,4,1.0,0.6296296296296297,4.4
noise_10,noise,1,4,0.1,4,1.0,0.6296296296296297,5.0
noise_10,noise,1,4,0.2,4,1.0,0.6296296296296297,4.8
noise_10,noise,2,4,0.0,6,0.9484292155384509,0.5526315789473685,5.0
noise_10,noise,2,4,0.1,4,0.9836427491482942,0.4473684210526316,5.1
noise_10,noise,2,4,0.2,4,0.9836427491482942,0.4473684210526316,4.4
noise_10,noise,3,4,0.0,4,0.9868399131660527,0.8461538461538461,3.5
noise_10,noise,3,4,0.1,4,0.9868399131660527,0.7692307692307693,4.4
noise_10,noise,3,4,0.2,4,0.9868399131660527,0.7692307692307693,4.0
noise_10,noise,4,4,0.0,4,0.970536695797528,0.5357142857142857,3.7
noise_10,noise,4,4,0.1,4,0.970536695797528,0.5,4.8
noise_10,noise,4,4,0.2,4,0.970536695797528,0.5357142857142857,4.0
noise_30,noise,0,4,0.0,6,0.9958056288513875,0.7777777777777778,5.0
noise_30,noise,0,4,0.1,3,0.7133127475038233,0.6296296296296297,5.8
noise_30,noise,0,4,0.2,3,0.7133127475038233,0.5555555555555556,4.6
noise_30,noise,1,4,0.0,6,0.9915255767212465,0.8260869565217391,4.8
noise_30,noise,1,4,0.1,4,0.9957739718350695,0.6521739130434783,5.5
noise_30,noise,1,4,0.2,4,0.9957739718350695,0.6521739130434783,4.9
noise_30,noise,2,4,0.0,5,0.9414007238600826,0.5757575757575758,4.5
noise_30,noise,2,4,0.1,4,1.0,0.48484848484848486,4.9
noise_30,noise,2,4,0.2,4,1.0,0.5151515151515151,4.7
noise_30,noise,3,4,0.0,5,0.9609985345384021,0.5714285714285714,4.9
noise_30,noise,3,4,0.1,6,0.9564378838589321,0.5952380952380952,5.4
noise_30,noise,3,4,0.2,4,0.7125758378698671,0.5238095238095238,4.8
noise_30,noise,4,4,0.0,5,0.9583135753760629,0.5454545454545454,5.5
noise_30,noise,4,4,0.1,4,0.7036325094947621,0.45454545454545453,5.8
noise_30,noise,4,4,0.2,3,0.7117511426319999,0.4090909090909091,5.1
noise_50,noise,0,4,0.0,6,0.9627577311458765,0.6122448979591837,5.7
noise_50,noise,0,4,0.1,4,0.7042062599571957,0.5306122448979592,5.5
noise_50,noise,0,4,0.2,4,0.7042062599571957,0.5102040816326531,5.1
noise_50,noise,1,4,0.0,6,0.985327006196146,0.6857142857142857,4.8
noise_50,noise,1,4,0.1,5,0.985327006196146,0.6,5.2
noise_50,noise,1,4,0.2,4,0.9765639029698866,0.5428571428571428,5.1
noise_50,noise,2,4,0.0,4,0.7097311460772141,0.5833333333333334,6.1
noise_50,noise,2,4,0.1,4,0.7097311460772141,0.5625,6.3
noise_50,noise,2,4,0.2,4,0.7097311460772141,0.5416666666666666,5.5
noise_50,noise,3,4,0.0,8,0.9537961397583753,0.7333333333333333,5.6
noise_50,noise,3,4,0.1,6,0.9269410684777445,0.6666666666666666,5.5
noise_50,noise,3,4,0.2,3,0.7129229142703917,0.5333333333333333,5.4
noise_50,noise,4,4,0.0,4,0.3305370277363002,0.5384615384615384,5.1
noise_50,noise,4,4,0.1,2,0.0,0.40384615384615385,5.4
noise_50,noise,4,4,0.2,3,0.0,0.40384615384615385,4.8
null_gaussian_d2,null,0,1,0.0,1,1.0,0.4166666666666667,3.5
null_gaussian_d2,null,0,1,0.1,1,1.0,0.25,3.3
null_gaussian_d2,null,0,1,0.2,1,1.0,0.19444444444444445,3.3
null_gaussian_d2,null,1,1,0.0,1,1.0,0.3548387096774194,2.8
null_gaussian_d2,null,1,1,0.1,1,1.0,0.3225806451612903,2.8
null_gaussian_d2,null,1,1,0.2,1,1.0,0.3225806451612903,2.7
null_gaussian_d2,null,2,1,0.0,1,1.0,0.42424242424242425,3.6
null_gaussian_d2,null,2,1,0.1,1,1.0,0.3333333333333333,3.7
null_gaussian_d2,null,2,1,0.2,1,1.0,0.30303030303030304,3.4
null_gaussian_d10,null,0,1,0.0,1,1.0,0.06060606060606061,2.8
null_gaussian_d10,null,0,1,0.1,1,1.0,0.030303030303030304,3.0
null_gaussian_d10,null,0,1,0.2,1,1.0,0.030303030303030304,2.0
null_gaussian_d10,null,1,1,0.0,1,1.0,0.0,2.9
null_gaussian_d10,null,1,1,0.1,1,1.0,0.02564102564102564,3.0
null_gaussian_d10,null,1,1,0.2,1,1.0,0.0,2.1
null_gaussian_d10,null,2,1,0.0,1,1.0,0.027777777777777776,2.4
null_gaussian_d10,null,2,1,0.1,1,1.0,0.05555555555555555,2.6
null_gaussian_d10,null,2,1,0.2,1,1.0,0.027777777777777776,2.4
null_uniform_d2,null,0,1,0.0,1,1.0,0.4,3.3
null_uniform_d2,null,0,1,0.1,1,1.0,0.34285714285714286,3.4
null_uniform_d2,null,0,1,0.2,1,1.0,0.2571428571428571,3.7
null_uniform_d2,null,1,1,0.0,1,1.0,0.5151515151515151,3.0
null_uniform_d2,null,1,1,0.1,1,1.0,0.30303030303030304,3.3
null_uniform_d2,null,1,1,0.2,1,1.0,0.30303030303030304,3.1
null_uniform_d2,null,2,1,0.0,1,1.0,0.3902439024390244,3.9
