case,rep,n,d,true_k,k_hat,k_init,n_tests,secs
sep_k5_d2_n2000,0,2000,2,5,5,42,102,22.9
sep_k5_d2_n2000,1,2000,2,5,5,39,93,21.3
sep_k5_d10_n2000,0,2000,10,5,5,49,113,12.5
sep_k5_d10_n2000,1,2000,10,5,5,47,111,17.1
sep_k20_d2_n2000,0,2000,2,20,21,34,85,31.3
sep_k20_d2_n2000,1,2000,2,20,20,39,95,30.8
sep_k20_d10_n2000,0,2000,10,20,20,35,92,41.8
sep_k20_d10_n2000,1,2000,10,20,20,38,102,41.9
null_d2_n2000,0,2000,2,1,1,49,131,25.4
null_d2_n2000,1,2000,2,1,1,51,140,29.6
sep_k5_d2_n10000,0,10000,2,5,5,65,161,63.7
sep_k5_d2_n10000,1,10000,2,5,5,65,162,61.8
sep_k5_d10_n10000,0,10000,10,5,5,65,153,85.0
sep_k5_d10_n10000,1,10000,10,5,5,65,157,57.0
sep_k20_d2_n10000,0,10000,2,20,18,65,162,59.7
sep_k20_d2_n10000,1,10000,2,20,20,65,159,68.7
sep_k20_d10_n10000,0,10000,10,20,22,65,163,85.6
sep_k20_d10_n10000,1,10000,10,20,16,65,167,78.5
null_d2_n10000,0,10000,2,1,1,65,157,54.7
null_d2_n10000,1,10000,2,1,1,65,156,58.3
sep_k5_d2_n50000,0,50000,2,5,5,65,159,70.5
sep_k5_d2_n50000,1,50000,2,5,5,65,159,69.3
sep_k5_d10_n50000,0,50000,10,5,5,65,147,62.1
sep_k5_d10_n50000,1,50000,10,5,5,65,149,71.7
sep_k20_d2_n50000,0,50000,2,20,15,65,155,67.2
sep_k20_d2_n50000,1,50000,2,20,18,65,163,77.5
sep_k20_d10_n50000,0,50000,10,20,8,65,165,84.4
sep_k20_d10_n50000,1,50000,10,20,6,65,173,87.8
null_d2_n50000,0,50000,2,1,2,65,154,69.0
null_d2_n50000,1,50000,2,1,2,65,153,59.8
sep_k5_d2_n200000,0,200000,2,5,5,65,161,76.2
sep_k5_d2_n200000,1,200000,2,5,5,65,164,77.5
sep_k5_d10_n200000,0,200000,10,5,5,65,153,82.7
sep_k5_d10_n200000,1,200000,10,5,5,65,148,84.4
sep_k20_d2_n200000,0,200000,2,20,11,65,159,69.1
sep_k20_d2_n200000,1,200000,2,20,11,65,163,71.1
sep_k20_d10_n200000,0,200000,10,20,6,65,166,72.6
sep_k20_d10_n200000,1,200000,10,20,6,65,176,96.2
null_d2_n200000,0,200000,2,1,5,65,146,63.8
null_d2_n200000,1,200000,2,1,3,65,148,67.8
