dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI
sep_k2_d2,sep,0,800,2,2,UniForCE,2,0.31368279457092285,1.0,1.0,1.0
sep_k2_d2,sep,1,800,2,2,UniForCE,2,0.28814077377319336,1.0,1.0,1.0
sep_k2_d2,sep,2,800,2,2,UniForCE,2,0.322629451751709,1.0,1.0,1.0
sep_k2_d2,sep,3,800,2,2,UniForCE,2,0.29798245429992676,1.0,1.0,1.0
sep_k2_d2,sep,4,800,2,2,UniForCE,2,0.319136381149292,1.0,1.0,1.0
sep_k2_d2,sep,5,800,2,2,UniForCE,2,0.2828705310821533,1.0,1.0,1.0
sep_k2_d2,sep,6,800,2,2,UniForCE,2,0.3445608615875244,1.0,1.0,1.0
sep_k2_d2,sep,7,800,2,2,UniForCE,2,0.31275081634521484,1.0,1.0,1.0
sep_k2_d2,sep,8,800,2,2,UniForCE,2,0.32073974609375,1.0,1.0,1.0
sep_k2_d2,sep,9,800,2,2,UniForCE,2,0.32831311225891113,1.0,1.0,1.0
sep_k2_d2,sep,10,800,2,2,UniForCE,2,0.30992722511291504,1.0,1.0,1.0
sep_k2_d2,sep,11,800,2,2,UniForCE,2,0.29682421684265137,1.0,1.0,1.0
sep_k2_d2,sep,12,800,2,2,UniForCE,2,0.30039525032043457,1.0,1.0,1.0
sep_k2_d2,sep,13,800,2,2,UniForCE,2,0.3557898998260498,1.0,1.0,1.0
sep_k2_d2,sep,14,800,2,2,UniForCE,2,0.32416844367980957,1.0,1.0,1.0
sep_k2_d2,sep,15,800,2,2,UniForCE,2,0.3151817321777344,1.0,1.0,1.0
sep_k2_d2,sep,16,800,2,2,UniForCE,2,0.3208944797515869,1.0,1.0,1.0
sep_k2_d2,sep,17,800,2,2,UniForCE,2,0.315887451171875,1.0,1.0,1.0
sep_k2_d2,sep,18,800,2,2,UniForCE,2,0.37393736839294434,1.0,1.0,1.0
sep_k2_d2,sep,19,800,2,2,UniForCE,2,0.3445267677307129,1.0,1.0,1.0
sep_k2_d10,sep,0,800,10,2,UniForCE,2,0.34821629524230957,1.0,1.0,1.0
sep_k2_d10,sep,1,800,10,2,UniForCE,2,0.314563512802124,1.0,1.0,1.0
sep_k2_d10,sep,2,800,10,2,UniForCE,2,0.4123718738555908,1.0,1.0,1.0
sep_k2_d10,sep,3,800,10,2,UniForCE,2,0.35654139518737793,1.0,1.0,1.0
sep_k2_d10,sep,4,800,10,2,UniForCE,2,0.35340285301208496,1.0,1.0,1.0
sep_k2_d10,sep,5,800,10,2,UniForCE,2,0.33637309074401855,1.0,1.0,1.0
sep_k2_d10,sep,6,800,10,2,UniForCE,2,0.3488156795501709,1.0,1.0,1.0
sep_k2_d10,sep,7,800,10,2,UniForCE,2,0.36226606369018555,1.0,1.0,1.0
sep_k2_d10,sep,8,800,10,2,UniForCE,2,0.3148155212402344,1.0,1.0,1.0
sep_k2_d10,sep,9,800,10,2,UniForCE,2,0.3224830627441406,1.0,1.0,1.0
sep_k2_d10,sep,10,800,10,2,UniForCE,2,0.3372626304626465,1.0,1.0,1.0
sep_k2_d10,sep,11,800,10,2,UniForCE,2,0.3374667167663574,1.0,1.0,1.0
sep_k2_d10,sep,16,800,10,2,UniForCE,2,0.2963113784790039,1.0,1.0,1.0
sep_k2_d10,sep,17,800,10,2,UniForCE,2,0.3208637237548828,1.0,1.0,1.0
sep_k2_d10,sep,18,800,10,2,UniForCE,2,0.3289966583251953,1.0,1.0,1.0
sep_k2_d10,sep,19,800,10,2,UniForCE,2,0.30455446243286133,1.0,1.0,1.0
sep_k2_d10,sep,12,800,10,2,UniForCE,2,0.33168816566467285,1.0,1.0,1.0
sep_k2_d10,sep,13,800,10,2,UniForCE,2,0.3444490432739258,1.0,1.0,1.0
sep_k2_d10,sep,14,800,10,2,UniForCE,2,0.3510606288909912,1.0,1.0,1.0
sep_k2_d10,sep,15,800,10,2,UniForCE,2,0.3350076675415039,1.0,1.0,1.0
sep_k2_d50,sep,0,800,50,2,UniForCE,2,0.16886615753173828,1.0,1.0,1.0
sep_k2_d50,sep,1,800,50,2,UniForCE,2,0.15338969230651855,1.0,1.0,1.0
sep_k2_d50,sep,2,800,50,2,UniForCE,2,0.16610193252563477,1.0,1.0,1.0
sep_k2_d50,sep,3,800,50,2,UniForCE,2,0.226271390914917,1.0,1.0,1.0
sep_k2_d50,sep,4,800,50,2,UniForCE,2,0.19512414932250977,1.0,1.0,1.0
sep_k2_d50,sep,5,800,50,2,UniForCE,2,0.2525513172149658,1.0,1.0,1.0
sep_k2_d50,sep,6,800,50,2,UniForCE,2,0.2780191898345947,1.0,1.0,1.0
sep_k2_d50,sep,7,800,50,2,UniForCE,2,0.20155787467956543,1.0,1.0,1.0
sep_k2_d50,sep,8,800,50,2,UniForCE,2,0.18376803398132324,1.0,1.0,1.0
sep_k2_d50,sep,9,800,50,2,UniForCE,2,0.16933059692382812,1.0,1.0,1.0
sep_k2_d50,sep,10,800,50,2,UniForCE,2,0.18278264999389648,1.0,1.0,1.0
sep_k2_d50,sep,11,800,50,2,UniForCE,2,0.15822839736938477,1.0,1.0,1.0
sep_k2_d50,sep,12,800,50,2,UniForCE,2,0.2344954013824463,1.0,1.0,1.0
sep_k2_d50,sep,13,800,50,2,UniForCE,2,0.22214627265930176,1.0,1.0,1.0
sep_k2_d50,sep,14,800,50,2,UniForCE,2,0.25383424758911133,1.0,1.0,1.0
sep_k2_d50,sep,15,800,50,2,UniForCE,2,0.23886966705322266,1.0,1.0,1.0
sep_k2_d50,sep,16,800,50,2,UniForCE,2,0.2064683437347412,1.0,1.0,1.0
sep_k2_d50,sep,17,800,50,2,UniForCE,2,0.21732187271118164,1.0,1.0,1.0
sep_k2_d50,sep,18,800,50,2,UniForCE,2,0.1880044937133789,1.0,1.0,1.0
sep_k2_d50,sep,19,800,50,2,UniForCE,2,0.17891621589660645,1.0,1.0,1.0
sep_k3_d2,sep,0,800,2,3,UniForCE,3,0.3023555278778076,1.0,1.0,1.0
sep_k3_d2,sep,1,800,2,3,UniForCE,3,0.3432025909423828,1.0,1.0,1.0
sep_k3_d2,sep,2,800,2,3,UniForCE,3,0.34311962127685547,1.0,1.0,1.0
sep_k3_d2,sep,3,800,2,3,UniForCE,3,0.33542919158935547,1.0,1.0,1.0
sep_k3_d2,sep,4,800,2,3,UniForCE,3,0.29476308822631836,1.0,1.0,1.0
sep_k3_d2,sep,5,800,2,3,UniForCE,3,0.2889378070831299,1.0,1.0,1.0
sep_k3_d2,sep,6,800,2,3,UniForCE,3,0.28871965408325195,1.0,1.0,1.0
sep_k3_d2,sep,7,800,2,3,UniForCE,3,0.2662665843963623,1.0,1.0,1.0
sep_k3_d2,sep,8,800,2,3,UniForCE,3,0.2922239303588867,1.0,1.0,1.0
sep_k3_d2,sep,9,800,2,3,UniForCE,3,0.301455020904541,1.0,1.0,1.0
sep_k3_d2,sep,10,800,2,3,UniForCE,3,0.30257225036621094,1.0,1.0,1.0
sep_k3_d2,sep,11,800,2,3,UniForCE,3,0.3155632019042969,1.0,1.0,1.0
sep_k3_d2,sep,12,800,2,3,UniForCE,3,0.2450249195098877,1.0,1.0,1.0
