dataset,family,rep,n,d,true_k,method,k_hat,runtime,ARI,AMI,NMI
null_gaussian_d2,null,1,600,2,1,WBP (HC-confidence),1,109.66980195045471,1.0,1.0,1.0
null_gaussian_d2,null,0,600,2,1,WBP (HC-confidence),1,146.64419865608215,1.0,1.0,1.0
null_gaussian_d10,null,0,600,10,1,WBP (HC-confidence),1,154.78591966629028,1.0,1.0,1.0
null_gaussian_d10,null,1,600,10,1,WBP (HC-confidence),1,117.83757591247559,1.0,1.0,1.0
null_uniform_d2,null,1,600,2,1,WBP (HC-confidence),1,130.5209448337555,1.0,1.0,1.0
null_uniform_d2,null,0,600,2,1,WBP (HC-confidence),1,172.19005942344666,1.0,1.0,1.0
null_uniform_d10,null,0,600,10,1,WBP (HC-confidence),1,130.67617297172546,1.0,1.0,1.0
null_uniform_d10,null,1,600,10,1,WBP (HC-confidence),1,144.5328996181488,1.0,1.0,1.0
null_t3_d2,null,0,600,2,1,WBP (HC-confidence),1,142.92558360099792,1.0,1.0,1.0
null_t3_d2,null,1,600,2,1,WBP (HC-confidence),1,158.9590299129486,1.0,1.0,1.0
null_t3_d10,null,0,600,10,1,WBP (HC-confidence),2,144.63491559028625,0.0,0.0,0.0
null_t3_d10,null,1,600,10,1,WBP (HC-confidence),1,175.94556331634521,1.0,1.0,1.0
null_aniso_d2,null,0,600,2,1,WBP (HC-confidence),2,132.20556592941284,0.0,0.0,0.0
null_aniso_d2,null,1,600,2,1,WBP (HC-confidence),6,107.68497824668884,0.0,0.0,0.0
null_aniso_d10,null,0,600,10,1,WBP (HC-confidence),3,118.02951002120972,0.0,0.0,0.0
null_aniso_d10,null,1,600,10,1,WBP (HC-confidence),6,65.4413743019104,0.0,0.0,0.0
sep_k2_d2,sep,0,800,2,2,WBP (HC-confidence),2,128.5793261528015,1.0,1.0,1.0
sep_k2_d2,sep,1,800,2,2,WBP (HC-confidence),2,171.4796760082245,1.0,1.0,1.0
sep_k3_d2,sep,0,800,2,3,WBP (HC-confidence),3,132.82845735549927,1.0,1.0,1.0
sep_k3_d2,sep,1,800,2,3,WBP (HC-confidence),3,143.4256820678711,1.0,1.0,1.0
sep_k5_d10,sep,0,800,10,5,WBP (HC-confidence),5,89.52732348442078,1.0,1.0,1.0
sep_k5_d10,sep,1,800,10,5,WBP (HC-confidence),6,78.9297502040863,0.9348122957039471,0.9584381304713792,0.9587507481282808
sep_k10_d50,sep,1,800,50,10,WBP (HC-confidence),10,55.04600477218628,1.0,1.0,1.0
sep_k10_d50,sep,0,800,50,10,WBP (HC-confidence),3,159.01453948020935,0.33058945293038433,0.5875825424721965,0.5903440470918918
sep_k20_d10,sep,1,800,10,20,WBP (HC-confidence),17,12.860071659088135,0.8588588588588588,0.9611322762059049,0.9640454014095249
sep_k20_d10,sep,0,800,10,20,WBP (HC-confidence),4,105.3728289604187,0.2362329145882542,0.5613689807167033,0.5686902320547764
overlap_s4.0,overlap,0,800,2,5,WBP (HC-confidence),4,106.11913800239563,0.6751546682269339,0.7341415342593206,0.7354917769115011
overlap_s4.0,overlap,1,800,2,5,WBP (HC-confidence),2,146.7389304637909,0.32412071233645234,0.475555957066844,0.4767014980354937
unbal_r20,unbalanced,0,898,2,5,WBP (HC-confidence),3,126.2167329788208,0.905803734911895,0.8909003226264496,0.8913559078227864
unbal_r20,unbalanced,1,898,2,5,WBP (HC-confidence),3,120.15988230705261,0.9367176371783797,0.881129273016673,0.8816200815082528
uvar_r3,unequal_var,0,800,2,4,WBP (HC-confidence),4,117.37663388252258,0.9704217361356784,0.9614331621432183,0.9615904991537656
uvar_r3,unequal_var,1,800,2,4,WBP (HC-confidence),5,94.44376564025879,0.9011142839192511,0.9201621036197682,0.9205715986483854
elong_c5,elongated,0,800,2,4,WBP (HC-confidence),1,144.6065707206726,0.0,0.0,0.0
elong_c5,elongated,1,800,2,4,WBP (HC-confidence),3,133.47192072868347,0.5360390666290685,0.6078389831796992,0.6090452043420636
nongauss_t3,nongauss,0,800,2,5,WBP (HC-confidence),5,64.50771951675415,1.0,1.0,1.0
nongauss_t3,nongauss,1,800,2,5,WBP (HC-confidence),5,78.46692252159119,0.9968691099886755,0.9952518682725183,0.995281596448275
noise_30,noise,0,900,2,4,WBP (HC-confidence),4,178.76139998435974,1.0,1.0,1.0
noise_30,noise,1,900,2,4,WBP (HC-confidence),3,147.79432010650635,0.711258181222856,0.8491475600103423,0.8497430647243618
nested_d2,nested,0,900,2,6,WBP (HC-confidence),3,129.4046037197113,0.5700621712099474,0.7592572125981409,0.7601875334318687
Iris,real,0,150,4,3,WBP (HC-confidence),10,51.242382287979126,0.33233262840325944,0.5547661381608296,0.5722632263067842
nested_d2,nested,1,900,2,6,WBP (HC-confidence),3,150.05615067481995,0.5700621712099474,0.7592572125981409,0.7601875334318687
Breast cancer,real,0,569,30,2,WBP (HC-confidence),9,84.04501819610596,0.22633717615006368,0.36374803087969587,0.36718941272068895
Wine,real,0,178,13,3,WBP (HC-confidence),6,114.73235273361206,0.5445490029486014,0.6317354854390974,0.6393427220458159
BC-benign(1cls),real,0,357,30,1,WBP (HC-confidence),5,104.1762387752533,0.0,0.0,0.0
Digits-PCA10,real,0,1797,10,10,WBP (HC-confidence),1,156.46150135993958,0.0,0.0,0.0
Iris-setosa(1cls),real,0,50,4,1,WBP (HC-confidence),4,66.7486674785614,0.0,0.0,0.0
